Id,Label,DisplayName,Gender,ProfileURL,ClusteringCoefficient,Triangles
iandunt.bsky.social,iandunt,Ian Dunt,,https://bsky.app/profile/iandunt.bsky.social,9.07E-05,1
johwondine.bsky.social,johwondine,Johwondine,male,https://bsky.app/profile/johwondine.bsky.social,0,0
ambertiff.bsky.social,ambertiff,Amber,female,https://bsky.app/profile/ambertiff.bsky.social,0,0
sueherivel.bsky.social,sueherivel,Mrs Doasyouwouldbedoneby,male,https://bsky.app/profile/sueherivel.bsky.social,0,0
definitelykim.bsky.social,definitelykim,,male,https://bsky.app/profile/definitelykim.bsky.social,0,0
greenguy1973.bsky.social,greenguy1973,Voteformyniecesfuture,,https://bsky.app/profile/greenguy1973.bsky.social,0,0
vaughanlister.bsky.social,vaughanlister,Vaughan Lister,female,https://bsky.app/profile/vaughanlister.bsky.social,0,0
jenant28.bsky.social,jenant28,,male,https://bsky.app/profile/jenant28.bsky.social,0,0
zyzeer.bsky.social,zyzeer,Yzeer,female,https://bsky.app/profile/zyzeer.bsky.social,0,0
robyne17.bsky.social,robyne17,TheRedQueen,male,https://bsky.app/profile/robyne17.bsky.social,1,1
skyhighdreamer.bsky.social,skyhighdreamer,Cara Ann,male,https://bsky.app/profile/skyhighdreamer.bsky.social,0,0
darian2024.bsky.social,darian2024,darian2024.bsky.social,female,https://bsky.app/profile/darian2024.bsky.social,0,0
gelishacamille16.bsky.social,gelishacamille16,Gelisha Navana ,female,https://bsky.app/profile/gelishacamille16.bsky.social,0,0
simonfiller56.bsky.social,simonfiller56,Tim Cieslik,male,https://bsky.app/profile/simonfiller56.bsky.social,0,0
drbarbarajane.bsky.social,drbarbarajane,,unknown,https://bsky.app/profile/drbarbarajane.bsky.social,0,0
fre33.bsky.social,fre33,,male,https://bsky.app/profile/fre33.bsky.social,0,0
com3t.bsky.social,com3t,Comet ðŸœ¸,male,https://bsky.app/profile/com3t.bsky.social,0,0
trishmelbourne.bsky.social,trishmelbourne,TrishMelbourne,male,https://bsky.app/profile/trishmelbourne.bsky.social,0,0
plantz3610.bsky.social,plantz3610,Gayle Dourn Plantz,unknown,https://bsky.app/profile/plantz3610.bsky.social,0,0
thebelovedaunt.bsky.social,thebelovedaunt,,male,https://bsky.app/profile/thebelovedaunt.bsky.social,0,0
stefanbergheim.bsky.social,stefanbergheim,Stefan Bergheim,,https://bsky.app/profile/stefanbergheim.bsky.social,0,0
beafk.bsky.social,beafk,Beatrice F. ðŸ‡ªðŸ‡º,male,https://bsky.app/profile/beafk.bsky.social,0,0
dim-llygoden.bsky.social,dim-llygoden,Dim_Llygoden,unknown,https://bsky.app/profile/dim-llygoden.bsky.social,0,0
miss-guided.bsky.social,miss-guided,,female,https://bsky.app/profile/miss-guided.bsky.social,0,0
annequin23.bsky.social,annequin23,Anne Quinlan,female,https://bsky.app/profile/annequin23.bsky.social,0,0
samsandown.bsky.social,samsandown,,male,https://bsky.app/profile/samsandown.bsky.social,0,0
malcbws.bsky.social,malcbws,Malc Bws,female,https://bsky.app/profile/malcbws.bsky.social,0,0
wsjtc02.bsky.social,wsjtc02,Jim Cowan,,https://bsky.app/profile/wsjtc02.bsky.social,0,0
cels5.bsky.social,cels5,Celia Fox,male,https://bsky.app/profile/cels5.bsky.social,0,0
anniewo.bsky.social,anniewo,,unknown,https://bsky.app/profile/anniewo.bsky.social,0,0
hell1984.bsky.social,hell1984,,unknown,https://bsky.app/profile/hell1984.bsky.social,0,0
hill-hillbill.bsky.social,hill-hillbill,Me being me,unknown,https://bsky.app/profile/hill-hillbill.bsky.social,0,0
elgatsbor17.bsky.social,elgatsbor17,Gatsby,female,https://bsky.app/profile/elgatsbor17.bsky.social,0,0
werewolfff.bsky.social,werewolfff,ah-ooh! werewolves of bluesky,male,https://bsky.app/profile/werewolfff.bsky.social,0,0
imamad24.bsky.social,imamad24,,male,https://bsky.app/profile/imamad24.bsky.social,0,0
paulcolam.bsky.social,paulcolam,Paul Colam ðŸ³ï¸â€ðŸŒˆ,female,https://bsky.app/profile/paulcolam.bsky.social,0,0
joansilv.bsky.social,joansilv,JoanS,female,https://bsky.app/profile/joansilv.bsky.social,0,0
zukesgirl.bsky.social,zukesgirl,,female,https://bsky.app/profile/zukesgirl.bsky.social,0,0
nornboy.bsky.social,nornboy,NornBoy,male,https://bsky.app/profile/nornboy.bsky.social,0,0
jfr4whatsnext.bsky.social,jfr4whatsnext,,male,https://bsky.app/profile/jfr4whatsnext.bsky.social,0,0
harshdemeanor.bsky.social,harshdemeanor,,male,https://bsky.app/profile/harshdemeanor.bsky.social,0,0
amandagillender.bsky.social,amandagillender,,female,https://bsky.app/profile/amandagillender.bsky.social,0,0
andistern.bsky.social,andistern,Andi Stern,female,https://bsky.app/profile/andistern.bsky.social,0,0
hallr4411.bsky.social,hallr4411,,male,https://bsky.app/profile/hallr4411.bsky.social,0,0
maesie25.bsky.social,maesie25,,female,https://bsky.app/profile/maesie25.bsky.social,0,0
julierob.bsky.social,julierob,,male,https://bsky.app/profile/julierob.bsky.social,0,0
coalhewersghost.bsky.social,coalhewersghost,GhostoftheCoalHewer,male,https://bsky.app/profile/coalhewersghost.bsky.social,0,0
cmdrstalwart.bsky.social,cmdrstalwart,Damien ð—¦ð˜ð—®ð—¹ð˜„ð—®ð—¿ð˜ TorrÃ©cillos,female,https://bsky.app/profile/cmdrstalwart.bsky.social,0,0
danhenshaw.bsky.social,danhenshaw,Dan Henshaw,female,https://bsky.app/profile/danhenshaw.bsky.social,0,0
miatrade.bsky.social,miatrade,,male,https://bsky.app/profile/miatrade.bsky.social,0,0
ahthinks.bsky.social,ahthinks,,male,https://bsky.app/profile/ahthinks.bsky.social,0,0
ojdm.bsky.social,ojdm,,male,https://bsky.app/profile/ojdm.bsky.social,0,0
petejjc.bsky.social,petejjc,,male,https://bsky.app/profile/petejjc.bsky.social,0,0
kevp99.bsky.social,kevp99,,male,https://bsky.app/profile/kevp99.bsky.social,0,0
mattulike.bsky.social,mattulike,,female,https://bsky.app/profile/mattulike.bsky.social,0,0
meek-code.bsky.social,meek-code,,female,https://bsky.app/profile/meek-code.bsky.social,0,0
thundersmolcat.bsky.social,thundersmolcat,ThunderCat,male,https://bsky.app/profile/thundersmolcat.bsky.social,0,0
tfpoz.bsky.social,tfpoz,TFPFoz,male,https://bsky.app/profile/tfpoz.bsky.social,0,0
tachacslt.bsky.social,tachacslt,Natacha Capener,unknown,https://bsky.app/profile/tachacslt.bsky.social,0,0
rachelcoss.bsky.social,rachelcoss,,female,https://bsky.app/profile/rachelcoss.bsky.social,0,0
helen-may.bsky.social,helen-may,Helen May,unknown,https://bsky.app/profile/helen-may.bsky.social,0,0
judgemenot69.bsky.social,judgemenot69,judgemenot69.bsky.social,male,https://bsky.app/profile/judgemenot69.bsky.social,0,0
gran-dad.bsky.social,gran-dad,Rick Philp,male,https://bsky.app/profile/gran-dad.bsky.social,0,0
gemmaclark.bsky.social,gemmaclark,Gemma Clark,male,https://bsky.app/profile/gemmaclark.bsky.social,0,0
accompanistcd.bsky.social,accompanistcd,,female,https://bsky.app/profile/accompanistcd.bsky.social,0,0
carolynrobb.bsky.social,carolynrobb,,female,https://bsky.app/profile/carolynrobb.bsky.social,0,0
drpaulboa.bsky.social,drpaulboa,,female,https://bsky.app/profile/drpaulboa.bsky.social,0,0
steelnote.bsky.social,steelnote,John Ellis,female,https://bsky.app/profile/steelnote.bsky.social,0,0
pixelwelten.bsky.social,pixelwelten,RÃ¼diger Beckmann,female,https://bsky.app/profile/pixelwelten.bsky.social,0,0
vigman.bsky.social,vigman,Jon,female,https://bsky.app/profile/vigman.bsky.social,0,0
diversityisstrenth.bsky.social,diversityisstrenth,Portia,male,https://bsky.app/profile/diversityisstrenth.bsky.social,0,0
gonzoceo.bsky.social,gonzoceo,Gonzo CEO,male,https://bsky.app/profile/gonzoceo.bsky.social,0,0
dan-smiles.bsky.social,dan-smiles,,male,https://bsky.app/profile/dan-smiles.bsky.social,0,0
gillespionage.bsky.social,gillespionage,Iain G,unknown,https://bsky.app/profile/gillespionage.bsky.social,0,0
toob2cool.bsky.social,toob2cool,Karen,male,https://bsky.app/profile/toob2cool.bsky.social,0,0
resistandpersist.bsky.social,resistandpersist,Laur,male,https://bsky.app/profile/resistandpersist.bsky.social,0,0
alexandracooper100.bsky.social,alexandracooper100,,male,https://bsky.app/profile/alexandracooper100.bsky.social,0,0
noc-7.bsky.social,noc-7,Nuala O'C,male,https://bsky.app/profile/noc-7.bsky.social,0,0
paliwalavi.bsky.social,paliwalavi,Avinash Paliwal,female,https://bsky.app/profile/paliwalavi.bsky.social,0,0
csmacdonald.bsky.social,csmacdonald,,male,https://bsky.app/profile/csmacdonald.bsky.social,0,0
preshae.bsky.social,preshae,,male,https://bsky.app/profile/preshae.bsky.social,0,0
jurismartins.bsky.social,jurismartins,Juris Martins ðŸŒ¹ðŸ‡±ðŸ‡»ðŸ‡ªðŸ‡º,male,https://bsky.app/profile/jurismartins.bsky.social,0,0
dominicbiela.bsky.social,dominicbiela,,male,https://bsky.app/profile/dominicbiela.bsky.social,0,0
eatingonpurpose.bsky.social,eatingonpurpose,,male,https://bsky.app/profile/eatingonpurpose.bsky.social,0,0
